"site","Position","n_peaks","shannon","NOSC_med","NOSC_iqr","NOSC_mean","NOSC_p10","NOSC_p90","NOSC_range90","DBE_med","DBE_mean","DBE_iqr","AI_med","AI_iqr","delG_med","delG_iqr","lambda_med","lambda_iqr","Cnum_med","Cnum_iqr","frac_NOSC_pos","frac_NOSC_low","frac_AI_high","DBE_C_ratio_mean","frac_ConHC","frac_Lipid","frac_AminoSugar","frac_Protein","frac_Tannin","frac_UnsatHC","frac_Lignin","frac_Carb","frac_Other","ratio_Protein_Lignin","ratio_Lipid_Carb","ratio_UnsatHC_ConHC","npoc","biomass","respC","ssa_tot","clay","silt","fine","med","coarse"
"0012","M",2394,7.78072088611792,-0.333333333,1.224358975,-0.299681826896825,-1.25,0.666666667,1.916666667,7,8.11236424394319,8,0.1806526805,0.42062818375,-9315.13839717011,4297.16440348658,0.0462779346243617,0.0259681386179336,19,7,0.348788638262322,0.191729323308271,0.159565580618212,0.419156892661497,0.152882205513784,0.0860484544695071,0.0584795321637427,0.242690058479532,0.116959064327485,0.0304928989139515,0.276942355889724,0.0213032581453634,0.0142021720969089,0.8763197586727,4.03921568627451,0.199453551912568,0.239704142011834,8.71850168886727,0.0128412933220626,544.02048,7,0,3,35.2,54.8
"0014","U",2544,7.84149292446001,-0.4,1.017647059,-0.384583403456761,-1.2619883042,0.5,1.7619883042,6,7.19732704402516,6,0.133333333,0.375,-8941.66533703878,4839.71727690749,0.048365239926178,0.0311434613054871,18,8,0.272012578616352,0.192216981132075,0.136792452830189,0.395898003442157,0.110062893081761,0.101022012578616,0.065251572327044,0.25,0.0778301886792453,0.0161163522012579,0.338443396226415,0.0322327044025157,0.00904088050314465,0.738675958188153,3.13414634146341,0.146428571428571,0.288373594782459,9.89597473235906,0.148457907834892,20.1011673,32.2,25.8,38,2.9,1.1
"0015","D",1415,7.25488481007734,-0.7,0.9786764705,-0.576127250842403,-1.4070588236,0.412631579200003,1.8196904028,5,6.29116607773852,5,0.076923077,0.309018568,-9145.00380697311,4430.80766851938,0.0457555612324366,0.0292234202001562,17,7,0.197173144876325,0.297526501766784,0.0925795053003534,0.345612364710726,0.0777385159010601,0.147703180212014,0.0734982332155477,0.315901060070671,0.0586572438162544,0.0416961130742049,0.252296819787986,0.0169611307420495,0.015547703180212,1.25210084033613,8.70833333333334,0.536363636363636,0.456482032622999,9.48287358360875,0.027126654773785,65.837628,0,6.4,34.5,58,1.1
"0015","U",2496,7.82244472948932,-0.6,1,-0.503405231696715,-1.294117647,0.444444444,1.738562091,6,7.0088141025641,6,0.083333333,0.363636364,-9412.219180394,5082.72401187459,0.0448662089542168,0.0302193349830664,18,7,0.215945512820513,0.232371794871795,0.115785256410256,0.3668428902771,0.0921474358974359,0.102964743589744,0.0769230769230769,0.311298076923077,0.063301282051282,0.0484775641025641,0.266426282051282,0.0284455128205128,0.0100160256410256,1.16842105263158,3.61971830985915,0.526086956521739,0.187753938365247,9.6222140229663,0.020846980586644,92.6656842,2.6,0,19.2,75.5,2.7
"0016","D",2537,7.83873755959928,-0.714285714,0.72,-0.628269350275916,-1.304347826,0.142857143,1.447204969,5,7.03389830508475,6,0.034482759,0.244444444,-10810.1345538149,5862.44612026266,0.0377386930803288,0.0252162265991869,20,9,0.114308238076468,0.25817895151754,0.0811982656681119,0.325103062030161,0.0504532912889239,0.119038234134805,0.0930232558139535,0.344107213243989,0.0319274733937722,0.0583366180528183,0.247930626724478,0.0386283011430824,0.0165549862041782,1.3879173290938,3.08163265306122,1.15625,0.140992819720721,10.1818435879448,0.0233698913565301,166.36079175,20.6,28.9,18.4,16.2,15.9
"0016","U",1289,7.16162200293919,-0.75,0.652631579,-0.659580400615981,-1.3,0,1.3,5,5.94957331264546,3,0,0.181818182,-9882.77302374922,4276.08074684181,0.0410563706392254,0.0233296564015182,18,7,0.0938712179984484,0.266873545384019,0.0760279286268425,0.307525506667453,0.0543056633048875,0.114041892940264,0.114041892940264,0.408068269976726,0.021722265321955,0.0240496508921645,0.207137315748642,0.0380139643134213,0.0186190845616757,1.97003745318352,3,0.442857142857143,0.231923986986099,9.50514997831991,0.0526193711180124,394.1475141,2.8,30.2,13.6,12.8,40.6
"0017","D",2296,7.73892375743946,-0.571428571,0.90238095175,-0.49865824350392,-1.25,0.363636364,1.613636364,6,6.77743902439024,5,0.090909091,0.3125,-9505.30186710444,4638.09227690741,0.0443975565085535,0.0272023742609665,18,7,0.202090592334495,0.206445993031359,0.0849303135888502,0.358761244332477,0.0596689895470383,0.0875435540069686,0.0853658536585366,0.306620209059233,0.0683797909407665,0.0331010452961672,0.315331010452962,0.0348432055749129,0.00914634146341463,0.972375690607735,2.5125,0.554744525547445,0.123485098661086,9.51719589794997,0.0886665426931943,165.54691755,23.2,35.7,18,6.4,16.7
"0017","M",2387,7.77779262633883,-0.608695652,0.860254083,-0.511103733033096,-1.2608187134,0.352941176,1.6137598894,6,6.79095098449937,5,0.076923077,0.295707472,-9786.83455381489,4707.25190348656,0.0432561024425402,0.02692219868901,19,8,0.188102220360285,0.214914118139925,0.0821114369501466,0.350673583664179,0.058232090490155,0.0858818600754085,0.0846250523669878,0.323418516966904,0.0645161290322581,0.0372852953498115,0.302471721826561,0.0310012568077084,0.0125680770842061,1.06925207756233,2.77027027027027,0.640287769784173,0.137488416175232,9.72345567203519,0.0102264111204718,349.4596482,8.9,36.4,7.4,11.2,36.1
"0017","U",2359,7.76599307940768,-0.545454545,0.9544513455,-0.481538811817295,-1.28,0.4,1.68,6,7.02373887240356,5,0.090909091,0.333333333,-9655.51149368356,4801.47690348654,0.0440245182691671,0.0281013967085198,18,8,0.21704111911827,0.214497668503603,0.107248834251802,0.362483837090293,0.0801186943620178,0.0936837643069097,0.0822382365409072,0.293768545994065,0.0665536244171259,0.036456125476897,0.300974989402289,0.0351844001695634,0.0110216193302247,0.976056338028169,2.66265060240964,0.455026455026455,0.0887684685219249,9.42160392686983,0.0319812496291461,208.7301924,23.5,29.2,12.1,14.5,20.7
"0018","D",2111,7.65491704784832,-0.666666667,0.825396826,-0.584160188499763,-1.333333333,0.285714286,1.619047619,5,6.39365229748934,5,0.023255814,0.26969697,-9507.01533703878,5035.0403552298,0.0437252576902709,0.0293542961570671,18,8,0.152534343912838,0.261961155850308,0.0824253908100426,0.328755378228507,0.0606347702510658,0.119374703931786,0.0914258645191852,0.343439128375178,0.0464234959734723,0.0563713879677878,0.2202747513027,0.0364756039791568,0.0255802936996684,1.55913978494624,3.27272727272727,0.9296875,0.228917208858115,8.67577834167409,0.0113685235480212,636.4858962,9.2,0,10.1,14.3,66.4
